run_id,run_name,dict_threshold,min_support,min_dict_chars,max_event_coverage,policy_dict_size,econ_dict_size,dict_total_size,policy_event_active_ratio,econ_event_active_ratio,policy_label_match_rate,Imp_mean,Imp_std,Ieo_mean,Ieo_std,events_count,size_norm,score_primary,score_coverage_first
1,run_001_thr0.50_sup2_len3_cov0.30,0.5,2,3,0.3,627,958,1585,0.8959276018099548,0.8416289592760181,0.7647058823529411,0.1874360332394543,0.7614129391337539,0.11724243468614172,0.6738885587839599,221,1.0,0.7667420814479637,0.8023529411764706
2,run_002_thr0.50_sup2_len3_cov0.35,0.5,2,3,0.35,627,958,1585,0.8959276018099548,0.8416289592760181,0.7647058823529411,0.1874360332394543,0.7614129391337539,0.11724243468614172,0.6738885587839599,221,1.0,0.7667420814479637,0.8023529411764706
13,run_013_thr0.55_sup2_len3_cov0.30,0.55,2,3,0.3,618,955,1573,0.8914027149321267,0.8416289592760181,0.751131221719457,0.18295745234808033,0.7810979049209813,0.10915422443662622,0.6780969091880966,221,0.9908536585365854,0.7592808464849354,0.7964056119633596
14,run_014_thr0.55_sup2_len3_cov0.35,0.55,2,3,0.35,618,955,1573,0.8914027149321267,0.8416289592760181,0.751131221719457,0.18295745234808033,0.7810979049209813,0.10915422443662622,0.6780969091880966,221,0.9908536585365854,0.7592808464849354,0.7964056119633596
3,run_003_thr0.50_sup2_len4_cov0.30,0.5,2,4,0.3,611,940,1551,0.8823529411764706,0.8235294117647058,0.755656108597285,0.20285221463930153,0.7594630215515187,0.11409764378820286,0.6679314848188557,221,0.9740853658536586,0.7555943742412538,0.7896688417393224
4,run_004_thr0.50_sup2_len4_cov0.35,0.5,2,4,0.35,611,940,1551,0.8823529411764706,0.8235294117647058,0.755656108597285,0.20285221463930153,0.7594630215515187,0.11409764378820286,0.6679314848188557,221,0.9740853658536586,0.7555943742412538,0.7896688417393224
25,run_025_thr0.60_sup2_len3_cov0.30,0.6,2,3,0.3,578,949,1527,0.8642533936651584,0.8416289592760181,0.746606334841629,0.19889461529642982,0.8107661236847588,0.10334386694717518,0.682445283160919,221,0.9557926829268293,0.7519841215097671,0.7870502014126477
26,run_026_thr0.60_sup2_len3_cov0.35,0.6,2,3,0.35,578,949,1527,0.8642533936651584,0.8416289592760181,0.746606334841629,0.19889461529642982,0.8107661236847588,0.10334386694717518,0.682445283160919,221,0.9557926829268293,0.7519841215097671,0.7870502014126477
15,run_015_thr0.55_sup2_len4_cov0.30,0.55,2,4,0.3,603,938,1541,0.8823529411764706,0.8235294117647058,0.746606334841629,0.1833807095588316,0.7826362504355359,0.09874478640045523,0.6738445562588967,221,0.9664634146341463,0.7514505849244013,0.786730079461428
16,run_016_thr0.55_sup2_len4_cov0.35,0.55,2,4,0.35,603,938,1541,0.8823529411764706,0.8235294117647058,0.746606334841629,0.1833807095588316,0.7826362504355359,0.09874478640045523,0.6738445562588967,221,0.9664634146341463,0.7514505849244013,0.786730079461428
5,run_005_thr0.50_sup3_len3_cov0.30,0.5,3,3,0.3,350,379,729,0.8597285067873304,0.8371040723981901,0.6742081447963801,0.16671626111232685,0.7310890708048955,0.12218806934723875,0.6699327404525224,221,0.3475609756097561,0.7439341684140824,0.7770166096457345
6,run_006_thr0.50_sup3_len3_cov0.35,0.5,3,3,0.35,350,379,729,0.8597285067873304,0.8371040723981901,0.6742081447963801,0.16671626111232685,0.7310890708048955,0.12218806934723875,0.6699327404525224,221,0.3475609756097561,0.7439341684140824,0.7770166096457345
27,run_027_thr0.60_sup2_len4_cov0.30,0.6,2,4,0.3,568,932,1500,0.8552036199095022,0.8235294117647058,0.7330316742081447,0.19554254744671792,0.8085974390113737,0.09286171956773805,0.6781077967973849,221,0.9352134146341463,0.739438424290917,0.774092918827944
28,run_028_thr0.60_sup2_len4_cov0.35,0.6,2,4,0.35,568,932,1500,0.8552036199095022,0.8235294117647058,0.7330316742081447,0.19554254744671792,0.8085974390113737,0.09286171956773805,0.6781077967973849,221,0.9352134146341463,0.739438424290917,0.774092918827944
17,run_017_thr0.55_sup3_len3_cov0.30,0.55,3,3,0.3,341,376,717,0.8552036199095022,0.832579185520362,0.665158371040724,0.15823210551364836,0.7529737232258455,0.1083280693582219,0.6713254449094673,221,0.3384146341463415,0.7376041551705109,0.771182402604569
18,run_018_thr0.55_sup3_len3_cov0.35,0.55,3,3,0.35,341,376,717,0.8552036199095022,0.832579185520362,0.665158371040724,0.15823210551364836,0.7529737232258455,0.1083280693582219,0.6713254449094673,221,0.3384146341463415,0.7376041551705109,0.771182402604569
7,run_007_thr0.50_sup3_len4_cov0.30,0.5,3,4,0.3,337,364,701,0.8461538461538461,0.8190045248868778,0.665158371040724,0.1966429329515125,0.7251110004002733,0.11590310780981543,0.6660536248917082,221,0.32621951219512196,0.7325578026707869,0.764195315086635
8,run_008_thr0.50_sup3_len4_cov0.35,0.5,3,4,0.35,337,364,701,0.8461538461538461,0.8190045248868778,0.665158371040724,0.1966429329515125,0.7251110004002733,0.11590310780981543,0.6660536248917082,221,0.32621951219512196,0.7325578026707869,0.764195315086635
19,run_019_thr0.55_sup3_len4_cov0.30,0.55,3,4,0.3,329,362,691,0.8461538461538461,0.8144796380090498,0.6606334841628959,0.1711474940532177,0.7520008990896752,0.09356674594522096,0.6694700346679049,221,0.31859756097560976,0.7295452350733915,0.7613696749806864
20,run_020_thr0.55_sup3_len4_cov0.35,0.55,3,4,0.35,329,362,691,0.8461538461538461,0.8144796380090498,0.6606334841628959,0.1711474940532177,0.7520008990896752,0.09356674594522096,0.6694700346679049,221,0.31859756097560976,0.7295452350733915,0.7613696749806864
29,run_029_thr0.60_sup3_len3_cov0.30,0.6,3,3,0.3,301,370,671,0.8144796380090498,0.832579185520362,0.6470588235294118,0.16826523342642113,0.7864271225844462,0.09966904967782217,0.6772927901011172,221,0.30335365853658536,0.7201264347202296,0.7526640961262554
30,run_030_thr0.60_sup3_len3_cov0.35,0.6,3,3,0.35,301,370,671,0.8144796380090498,0.832579185520362,0.6470588235294118,0.16826523342642113,0.7864271225844462,0.09966904967782217,0.6772927901011172,221,0.30335365853658536,0.7201264347202296,0.7526640961262554
31,run_031_thr0.60_sup3_len4_cov0.30,0.6,3,4,0.3,294,356,650,0.8099547511312217,0.8144796380090498,0.6470588235294118,0.16831153964427115,0.7883812905011296,0.084744367411868,0.6751803640820173,221,0.28734756097560976,0.7152706310009933,0.745791337876614
32,run_032_thr0.60_sup3_len4_cov0.35,0.6,3,4,0.35,294,356,650,0.8099547511312217,0.8144796380090498,0.6470588235294118,0.16831153964427115,0.7883812905011296,0.084744367411868,0.6751803640820173,221,0.28734756097560976,0.7152706310009933,0.745791337876614
21,run_021_thr0.55_sup5_len3_cov0.30,0.55,5,3,0.3,178,148,326,0.8009049773755657,0.7828054298642534,0.6063348416289592,0.10876457505553772,0.7382147291944317,0.09198492858232367,0.6598471601826421,221,0.040396341463414635,0.6970752055512636,0.7257111866791744
22,run_022_thr0.55_sup5_len3_cov0.35,0.55,5,3,0.35,178,148,326,0.8009049773755657,0.7828054298642534,0.6063348416289592,0.10876457505553772,0.7382147291944317,0.09198492858232367,0.6598471601826421,221,0.040396341463414635,0.6970752055512636,0.7257111866791744
9,run_009_thr0.50_sup5_len3_cov0.30,0.5,5,3,0.3,187,151,338,0.8099547511312217,0.7873303167420814,0.5972850678733032,0.12232744872945163,0.7171167611689618,0.11354170470865708,0.6489334373560189,221,0.04954268292682927,0.6954866667586359,0.7266811403266747
10,run_010_thr0.50_sup5_len3_cov0.35,0.5,5,3,0.35,187,151,338,0.8099547511312217,0.7873303167420814,0.5972850678733032,0.12232744872945163,0.7171167611689618,0.11354170470865708,0.6489334373560189,221,0.04954268292682927,0.6954866667586359,0.7266811403266747
23,run_023_thr0.55_sup5_len4_cov0.30,0.55,5,4,0.3,170,144,314,0.7873303167420814,0.7692307692307693,0.5972850678733032,0.12101386088000053,0.7357636361792533,0.0810734311736261,0.665732257214449,221,0.03125,0.6862203054298642,0.7139946266968324
24,run_024_thr0.55_sup5_len4_cov0.35,0.55,5,4,0.35,170,144,314,0.7873303167420814,0.7692307692307693,0.5972850678733032,0.12101386088000053,0.7357636361792533,0.0810734311736261,0.665732257214449,221,0.03125,0.6862203054298642,0.7139946266968324
11,run_011_thr0.50_sup5_len4_cov0.30,0.5,5,4,0.3,178,146,324,0.7918552036199095,0.7737556561085973,0.5882352941176471,0.15398849781776602,0.7100666374022333,0.10902320332522593,0.6599062339146303,221,0.038871951219512195,0.6835767644299746,0.7135397238163557
12,run_012_thr0.50_sup5_len4_cov0.35,0.5,5,4,0.35,178,146,324,0.7918552036199095,0.7737556561085973,0.5882352941176471,0.15398849781776602,0.7100666374022333,0.10902320332522593,0.6599062339146303,221,0.038871951219512195,0.6835767644299746,0.7135397238163557
33,run_033_thr0.60_sup5_len3_cov0.30,0.6,5,3,0.3,138,142,280,0.7149321266968326,0.7692307692307693,0.5656108597285068,0.10781485307884273,0.7735909009910967,0.07072303317057588,0.658431382996227,221,0.005335365853658537,0.653579385553471,0.6801566811058383
34,run_034_thr0.60_sup5_len3_cov0.35,0.6,5,3,0.35,138,142,280,0.7149321266968326,0.7692307692307693,0.5656108597285068,0.10781485307884273,0.7735909009910967,0.07072303317057588,0.658431382996227,221,0.005335365853658537,0.653579385553471,0.6801566811058383
35,run_035_thr0.60_sup5_len4_cov0.30,0.6,5,4,0.3,135,138,273,0.7058823529411765,0.751131221719457,0.5565610859728507,0.11108455078139284,0.7679358424284096,0.05499737854009432,0.6636160016968962,221,0.0,0.6425339366515838,0.6683257918552037
36,run_036_thr0.60_sup5_len4_cov0.35,0.6,5,4,0.35,135,138,273,0.7058823529411765,0.751131221719457,0.5565610859728507,0.11108455078139284,0.7679358424284096,0.05499737854009432,0.6636160016968962,221,0.0,0.6425339366515838,0.6683257918552037
