run_id,run_name,dict_threshold,min_support,min_dict_chars,max_event_coverage,dict_min_label_margin,dict_prob_smoothing_alpha,dict_ml_blend_weight,use_ml_prior,policy_dict_size,econ_dict_size,dict_total_size,policy_event_active_ratio,econ_event_active_ratio,policy_label_match_rate,Imp_mean,Imp_std,Ieo_mean,Ieo_std,events_count,size_norm,score_primary,score_coverage_first
6,run_006_thr0.50_sup2_len3_cov0.30_ml1_mg0.00_sa0.20_bw0.35,0.5,2,3,0.3,0.0,0.2,0.35,1,775,974,1749,0.9276018099547512,0.8461538461538461,0.7782805429864253,0.23219812358780595,0.7676125793139874,0.12257139263850503,0.6694415371865569,221,0.9817017383348582,0.7834940986036191,0.8194177261304972
12,run_012_thr0.50_sup2_len3_cov0.30_ml1_mg0.02_sa0.20_bw0.35,0.5,2,3,0.3,0.02,0.2,0.35,1,775,974,1749,0.9276018099547512,0.8461538461538461,0.7782805429864253,0.23219812358780595,0.7676125793139874,0.12257139263850503,0.6694415371865569,221,0.9817017383348582,0.7834940986036191,0.8194177261304972
18,run_018_thr0.50_sup2_len3_cov0.35_ml1_mg0.00_sa0.20_bw0.35,0.5,2,3,0.35,0.0,0.2,0.35,1,775,974,1749,0.9276018099547512,0.8461538461538461,0.7782805429864253,0.23219812358780595,0.7676125793139874,0.12257139263850503,0.6694415371865569,221,0.9817017383348582,0.7834940986036191,0.8194177261304972
24,run_024_thr0.50_sup2_len3_cov0.35_ml1_mg0.02_sa0.20_bw0.35,0.5,2,3,0.35,0.02,0.2,0.35,1,775,974,1749,0.9276018099547512,0.8461538461538461,0.7782805429864253,0.23219812358780595,0.7676125793139874,0.12257139263850503,0.6694415371865569,221,0.9817017383348582,0.7834940986036191,0.8194177261304972
9,run_009_thr0.50_sup2_len3_cov0.30_ml1_mg0.02_sa0.00_bw0.35,0.5,2,3,0.3,0.02,0.0,0.35,1,788,974,1762,0.9276018099547512,0.8461538461538461,0.7782805429864253,0.23556147730200547,0.7677316544305626,0.12226671600365861,0.6707115253663323,221,0.9935956084172004,0.782899405099502,0.819060910028027
21,run_021_thr0.50_sup2_len3_cov0.35_ml1_mg0.02_sa0.00_bw0.35,0.5,2,3,0.35,0.02,0.0,0.35,1,788,974,1762,0.9276018099547512,0.8461538461538461,0.7782805429864253,0.23556147730200547,0.7677316544305626,0.12226671600365861,0.6707115253663323,221,0.9935956084172004,0.782899405099502,0.819060910028027
3,run_003_thr0.50_sup2_len3_cov0.30_ml1_mg0.00_sa0.00_bw0.35,0.5,2,3,0.3,0.0,0.0,0.35,1,789,974,1763,0.9276018099547512,0.8461538461538461,0.7782805429864253,0.23644132417740676,0.7670126999397354,0.12226671600365861,0.6707115253663323,221,0.9945105215004575,0.7828536594453391,0.8190334626355292
15,run_015_thr0.50_sup2_len3_cov0.35_ml1_mg0.00_sa0.00_bw0.35,0.5,2,3,0.35,0.0,0.0,0.35,1,789,974,1763,0.9276018099547512,0.8461538461538461,0.7782805429864253,0.23644132417740676,0.7670126999397354,0.12226671600365861,0.6707115253663323,221,0.9945105215004575,0.7828536594453391,0.8190334626355292
2,run_002_thr0.50_sup2_len3_cov0.30_ml1_mg0.00_sa0.00_bw0.20,0.5,2,3,0.3,0.0,0.0,0.2,1,794,975,1769,0.9276018099547512,0.8461538461538461,0.7782805429864253,0.22680302301836738,0.7646494577412417,0.12353101275120926,0.6703638409755788,221,1.0,0.782579185520362,0.8188687782805429
8,run_008_thr0.50_sup2_len3_cov0.30_ml1_mg0.02_sa0.00_bw0.20,0.5,2,3,0.3,0.02,0.0,0.2,1,794,975,1769,0.9276018099547512,0.8461538461538461,0.7782805429864253,0.22680302301836738,0.7646494577412417,0.12353101275120926,0.6703638409755788,221,1.0,0.782579185520362,0.8188687782805429
14,run_014_thr0.50_sup2_len3_cov0.35_ml1_mg0.00_sa0.00_bw0.20,0.5,2,3,0.35,0.0,0.0,0.2,1,794,975,1769,0.9276018099547512,0.8461538461538461,0.7782805429864253,0.22680302301836738,0.7646494577412417,0.12353101275120926,0.6703638409755788,221,1.0,0.782579185520362,0.8188687782805429
